Pickup Area,Dropoff Area,Pickup Governorate,Dropoff Governorate,Pickup Time,Day of Week,Hour of Day,Trip Duration (min),Trip Distance (km),Fare per km (EGP),Fare (EGP),Service Type,Payment Method,Driver Rating
Ain Shams,Mohandessin,Cairo,Giza,2024-06-28 10:57:00,Friday,10,3.41,2.37,3.28658518410052,7.79,Uber Scooter,Cash,3.5
Zamalek,Fifth Settlement,Cairo,Cairo,2024-06-10 12:31:00,Monday,12,29.94,12.84,3.5335613962825647,45.37,Uber Bus,Wallet,3.8
Ain Shams,Nasr City,Cairo,Cairo,2024-06-11 20:30:00,Tuesday,20,10.6,6.99,4.409645580082914,30.82,UberX,Credit Card,4.7
Nasr City,Rehab,Cairo,Cairo,2024-06-11 15:54:00,Tuesday,15,18.31,10.34,3.232878443447519,33.43,Uber Comfort,Cash,4.7
6th October,Ain Shams,Giza,Cairo,2024-06-15 12:02:00,Saturday,12,39.29,15.91,4.414447681403749,70.23,Uber Comfort,Wallet,4.7
Sheikh Zayed,Shorouk,Giza,Cairo,2024-06-04 07:25:00,Tuesday,7,26.92,15.86,3.5859524021624463,56.87,UberX,Wallet,4.9
Zamalek,Mohandessin,Cairo,Giza,2024-06-26 14:18:00,Wednesday,14,5.84,2.79,4.187348172270162,11.68,UberX,Cash,4.8
Faisal,Shorouk,Giza,Cairo,2024-06-06 18:13:00,Thursday,18,2.97,2.01,3.763464491711817,7.56,Uber Bus,Wallet,4.7
Downtown,Maadi,Cairo,Cairo,2024-06-01 00:19:00,Saturday,0,14.06,8.67,4.158820809404166,36.06,UberX,Cash,4.9
Maadi,Fifth Settlement,Cairo,Cairo,2024-06-05 14:16:00,Wednesday,14,20.33,14.18,5.4913990973637965,77.87,UberX,Cash,4.0
Zamalek,Rehab,Cairo,Cairo,2024-06-09 05:58:00,Sunday,5,13.91,7.78,3.508382130000837,27.3,Uber Bus,Credit Card,4.0
Nasr City,New Cairo,Cairo,Cairo,2024-06-16 23:16:00,Sunday,23,10.5,5.66,3.6585540717581,20.71,Uber Scooter,Credit Card,4.3
6th October,Mohandessin,Giza,Giza,2024-06-25 08:10:00,Tuesday,8,74.76,25.35,4.514030692234194,114.43,Uber Scooter,Credit Card,4.8
Rehab,Haram,Cairo,Giza,2024-06-26 17:25:00,Wednesday,17,12.49,8.18,5.248109393514795,42.93,UberX,Wallet,3.9
Obour,Heliopolis,Qalyubia,Cairo,2024-06-15 07:34:00,Saturday,7,32.73,16.8,3.076551911939592,51.69,UberX,Credit Card,4.7
Shorouk,Haram,Cairo,Giza,2024-06-24 11:42:00,Monday,11,42.04,21.14,4.965473335910953,104.97,Uber Scooter,Wallet,4.4
Obour,Mohandessin,Qalyubia,Giza,2024-06-20 04:43:00,Thursday,4,13.33,6.63,3.9842964657180753,26.42,Uber Scooter,Credit Card,4.5
Ain Shams,Downtown,Cairo,Cairo,2024-06-29 19:45:00,Saturday,19,34.44,21.8,4.220376918203093,92.0,Uber Scooter,Cash,4.2
Heliopolis,Shubra,Cairo,Cairo,2024-06-01 16:51:00,Saturday,16,20.11,13.88,3.378115834257762,46.89,Uber Comfort,Wallet,4.5
Ain Shams,10th of Ramadan,Cairo,Sharqia,2024-06-22 19:11:00,Saturday,19,15.31,9.5,4.876004076290036,46.32,Uber Bus,Wallet,4.1
10th of Ramadan,Sheikh Zayed,Sharqia,Giza,2024-06-16 13:27:00,Sunday,13,19.4,7.88,4.676458193378995,36.85,UberX,Credit Card,4.8
Mohandessin,Faisal,Giza,Giza,2024-06-11 05:00:00,Tuesday,5,35.39,22.78,4.389813152416975,100.0,Uber Scooter,Wallet,4.4
Maadi,Nasr City,Cairo,Cairo,2024-06-01 16:55:00,Saturday,16,25.22,12.6,3.111154255297268,39.2,Uber Bus,Credit Card,3.7
Haram,Downtown,Giza,Cairo,2024-06-19 05:00:00,Wednesday,5,14.83,9.28,4.478367798877969,41.56,Uber Comfort,Wallet,4.4
Shorouk,Zamalek,Cairo,Cairo,2024-06-15 21:31:00,Saturday,21,4.41,2.84,4.476154291065569,12.71,Uber Comfort,Wallet,4.0
Dokki,Zamalek,Giza,Cairo,2024-06-02 17:06:00,Sunday,17,14.06,7.96,4.521738097263049,35.99,Uber Comfort,Cash,3.6
Ain Shams,Shubra,Cairo,Cairo,2024-06-26 07:38:00,Wednesday,7,20.52,12.28,4.8760810019905385,59.88,Uber Scooter,Wallet,4.0
Fifth Settlement,Rehab,Cairo,Cairo,2024-06-13 01:28:00,Thursday,1,58.85,24.8,3.073831043421936,76.23,Uber Scooter,Credit Card,3.6
Zamalek,Nasr City,Cairo,Cairo,2024-06-24 21:13:00,Monday,21,60.3,27.14,4.028360237239188,109.33,Uber Comfort,Cash,3.6
